instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
QPLIB_10073.lp,min,0.0,0.0,tie,0,0,10.045763,10.070666
QPLIB_10074.lp,min,0.0,0.0,tie,0,0,10.164071,10.096699
QPLIB_1976.lp,min,-9594.0,-9594.0,tie,0,0,10.083525,10.095456
QPLIB_2017.lp,min,-22984.0,-22984.0,tie,0,0,10.148231,10.054193
QPLIB_2022.lp,min,-22554.0,-22554.0,tie,0,0,10.136903,10.173756
QPLIB_2029.lp,min,-33904.0,-34576.0,new loss,0,0,10.104601,10.080877
QPLIB_2036.lp,min,-30140.0,-30140.0,tie,0,0,10.117743,10.077753
QPLIB_2047.lp,min,1182604.5,1182604.5,tie,0,0,10.943733,10.510889
QPLIB_2055.lp,min,3412950.0,3412950.0,tie,0,0,10.126,10.45912
QPLIB_2060.lp,min,2621928.0,2621928.0,tie,0,0,11.109753,10.333903
QPLIB_2067.lp,min,3740230.0,3793380.0,new win,0,0,10.610792,11.125319
QPLIB_2073.lp,min,7957180.0,7957180.0,tie,0,0,10.417891,11.120777
QPLIB_2077.lp,min,2443612.5,2443612.5,tie,0,0,11.223154,10.738755
QPLIB_2085.lp,min,7483750.0,7483750.0,tie,0,0,11.206168,10.896964
QPLIB_2087.lp,min,3312579.0,3312579.0,tie,0,0,12.050854,11.754998
QPLIB_2096.lp,min,7432224.0,7432224.0,tie,0,0,11.685281,12.604348
QPLIB_2315.lp,min,-26758.0,-26675.0,new win,0,0,11.778162,11.995328
QPLIB_2357.lp,min,-647.0,-647.0,tie,0,0,10.115912,10.187937
QPLIB_2359.lp,min,-638.0,-638.0,tie,0,0,10.054054,10.118847
QPLIB_2492.lp,min,2766.0,2766.0,tie,0,0,10.364759,10.731168
QPLIB_2512.lp,min,135028.0,135028.0,tie,0,0,10.198678,10.170347
QPLIB_2733.lp,min,5510.0,5510.0,tie,0,0,12.732046,10.896433
QPLIB_2880.lp,min,1317494.0,1317494.0,tie,0,0,10.785814,10.852489
QPLIB_2957.lp,min,3666.0,3666.0,tie,0,0,12.873535,12.279995
QPLIB_3307.lp,min,1282.0,1282.0,tie,0,0,10.491321,10.259598
QPLIB_3347.lp,min,4017827.0,4017827.0,tie,0,0,15.228151,14.727856
QPLIB_3361.lp,min,117340.0,117340.0,tie,0,0,11.148228,15.115757
QPLIB_3380.lp,min,,,neither feasible,0,0,11.245931,11.115645
QPLIB_3402.lp,min,229092.0,229092.0,tie,0,0,10.257469,10.045247
QPLIB_3413.lp,min,2522.0,2522.0,tie,0,0,10.163325,10.332561
QPLIB_3506.lp,max,478.0,476.0,new win,0,0,10.119002,10.019303
QPLIB_3562.lp,min,16.0,16.0,tie,0,0,10.019575,10.01748
QPLIB_3565.lp,max,282.0,282.0,tie,0,0,10.041248,10.090705
QPLIB_3584.lp,min,-22989.0,-22989.0,tie,0,0,10.974692,10.664492
QPLIB_3587.lp,min,16811.0,16811.0,tie,0,0,10.273077,10.255965
QPLIB_3614.lp,min,15062.0,15062.0,tie,0,0,10.044003,10.109139
