cutoff,instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
10,QPLIB_6647.lp,min,2.0,2.0,tie,0,0,10.447115,11.420307
10,QPLIB_6757.lp,min,184.0,175.0,new loss,0,0,12.016419,18.447831
10,QPLIB_6764.lp,min,221.0,225.0,new win,0,0,18.500476,10.619815
10,QPLIB_6799.lp,min,165.0,165.0,tie,0,0,18.282936,18.875532
10,QPLIB_6941.lp,min,214.0,214.0,tie,0,0,18.631,20.080745
10,QPLIB_7127.lp,min,0.0,0.0,tie,0,0,12.336028,10.491557
10,QPLIB_7139.lp,min,621.0,621.0,tie,0,0,10.095265,10.075631
10,QPLIB_7144.lp,min,822.0,822.0,tie,0,0,10.191187,10.088414
10,QPLIB_7149.lp,min,974.0,977.0,new win,0,0,10.194521,10.239704
10,QPLIB_7154.lp,min,1175.0,1175.0,tie,0,0,10.173424,10.1803
10,QPLIB_7159.lp,min,1394.0,1394.0,tie,0,0,10.302821,10.365143
10,QPLIB_7164.lp,min,1625.0,1625.0,tie,0,0,10.471205,10.546275
10,QPLIB_9030.lp,min,526240.0,526240.0,tie,0,0,17.931446,18.031963
10,QPLIB_9048.lp,min,-1.165682,-1.165682,tie,0,0,10.761537,11.334664
10,st_miqp1.lp,min,281.0,281.0,tie,0,0,10.00984,10.010182
10,st_miqp2.lp,min,2.0,2.0,tie,0,0,10.009926,10.008833
10,st_miqp3.lp,min,-6.0,-6.0,tie,0,0,10.010242,10.007949
10,st_test1.lp,min,0.0,0.0,tie,0,0,10.010598,10.010067
10,st_test2.lp,min,-9.25,-9.25,tie,0,0,10.012013,10.009056
10,st_test3.lp,min,-7.0,-7.0,tie,0,0,10.021817,10.0154
10,st_test4.lp,min,-7.0,-7.0,tie,0,0,10.024443,10.011772
10,st_test5.lp,min,-110.0,-110.0,tie,0,0,10.060415,10.035139
10,st_test6.lp,min,471.0,471.0,tie,0,0,10.012583,10.026236
10,st_test8.lp,min,-29605.0,-29605.0,tie,0,0,10.025829,10.021858
10,st_testgr1.lp,min,-12.38955,-12.38955,tie,0,0,10.014628,10.012362
10,st_testgr3.lp,min,-19.4915,-19.4915,tie,0,0,10.037513,10.047696
10,st_testph4.lp,min,-80.5,-80.5,tie,0,0,10.027011,10.01318
60,ball_mk2_10.lp,min,0.0,0.0,tie,0,0,60.011132,60.01027
60,ball_mk2_30.lp,min,0.0,0.0,tie,0,0,60.018625,60.016977
60,ball_mk3_10.lp,,,,neither feasible,0,0,60.011862,60.007684
60,ball_mk3_20.lp,,,,neither feasible,0,0,60.015211,60.009657
60,ball_mk3_30.lp,,,,neither feasible,0,0,60.012457,60.016213
60,ball_mk4_05.lp,,,,neither feasible,0,0,60.013155,60.008457
60,ball_mk4_10.lp,,,,neither feasible,0,0,60.053594,60.059319
60,ball_mk4_15.lp,,,,neither feasible,0,0,60.03155,60.010799
60,chimera_k64ising-01.lp,max,17.8,12.1,new win,0,0,60.265312,60.076834
60,chimera_k64maxcut-01.lp,max,14.7,13.8,new win,0,0,60.180701,60.195447
60,chimera_k64maxcut-02.lp,max,16.8,12.1,new win,0,0,60.147153,60.230847
60,chimera_lga-01.lp,max,135.6,128.2,new win,0,0,60.169189,60.652287
60,chimera_lga-02.lp,max,127.4,125.4,new win,0,0,60.314713,60.15091
60,chimera_mgw-c16-2031-01.lp,max,2000.0,1983.0,new win,0,0,60.542944,61.310078
60,chimera_mgw-c16-2031-02.lp,max,1996.0,1994.0,new win,0,0,60.119712,60.655947
60,chimera_mgw-c8-439-onc8-001.lp,max,405.0,405.0,tie,0,0,60.086032,60.444849
60,chimera_mgw-c8-439-onc8-002.lp,max,396.0,396.0,tie,0,0,60.069509,60.439678
60,chimera_mgw-c8-507-onc8-01.lp,max,493.0,493.0,tie,0,0,60.124765,60.339394
60,chimera_mgw-c8-507-onc8-02.lp,max,495.0,495.0,tie,0,0,60.117528,60.357428
60,chimera_mis-01.lp,max,385.0,383.8,new win,0,0,60.251245,61.608075
60,chimera_mis-02.lp,max,394.0,394.0,tie,0,0,60.071038,61.581002
60,chimera_rfr-01.lp,max,1183.1,1180.2,new win,0,0,60.280642,61.149393
60,chimera_rfr-02.lp,max,1155.4,1152.7,new win,0,0,60.561298,61.339154
60,chimera_selby-c16-01.lp,max,717.6,721.6,new loss,0,0,60.041782,60.417223
60,chimera_selby-c16-02.lp,max,714.1,706.5,new win,0,0,60.272181,60.088982
60,chimera_selby-c8-onc8-01.lp,max,176.0,176.5,new loss,0,0,60.09459,60.056889
60,chimera_selby-c8-onc8-02.lp,max,167.6,166.2,new win,0,0,60.087722,60.093499
60,crossdock_15x8.lp,min,16351.0,16351.0,tie,0,0,60.020511,60.020545
60,graphpart_2g-0044-1601.lp,min,-919798.0,-919798.0,tie,0,0,60.013576,60.011143
60,graphpart_2g-0055-0062.lp,min,-1389815.0,-1389815.0,tie,0,0,60.015634,60.017861
60,graphpart_2g-0066-0066.lp,min,-2775376.0,-2775376.0,tie,0,0,60.022126,60.010942
60,graphpart_2g-0077-0077.lp,min,-2950494.0,-2950494.0,tie,0,0,60.013591,60.033165
60,graphpart_2g-0088-0088.lp,min,-5935341.0,-5935341.0,tie,0,0,60.044354,60.025004
60,graphpart_2g-0099-9211.lp,min,-5023974.0,-5023974.0,tie,0,0,60.023173,60.033095
60,graphpart_2g-1010-0824.lp,min,-6972014.0,-6972014.0,tie,0,0,60.042892,60.060388
60,graphpart_2pm-0044-0044.lp,min,-10.0,-10.0,tie,0,0,60.027061,60.008704
60,graphpart_2pm-0055-0055.lp,min,-20.0,-20.0,tie,0,0,60.016661,60.021289
60,graphpart_2pm-0066-0066.lp,min,-29.0,-29.0,tie,0,0,60.030238,60.014902
60,graphpart_2pm-0077-0777.lp,min,-38.0,-38.0,tie,0,0,60.035713,60.022414
