instance,family,is_chimera,is_qubo_cache_active,sense,baseline_status,mode15_status,mode16_status,baseline_obj,mode15_obj,mode16_obj,mode16_vs_baseline,mode16_vs_mode15,pair_attempt,pair_checked,pair_executed,pair_improved_best,pair_best_seen,pair_time_spent,cache_mismatch16,mode15_cache_mismatch
QPLIB_3307.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,1266.0,1266.0,1266.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3347.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,3941807.0,3944920.0,3944920.0,loss,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3361.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,113360.0,115570.0,113360.0,tie,win,0,0,0,0,0.0,0.0,0,0
QPLIB_3380.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,2147483647.0,2147483647.0,2147483647.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3402.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,224416.0,229092.0,224416.0,tie,win,0,0,0,0,0.0,0.0,0,0
QPLIB_3413.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,2404.0,2404.0,2404.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3506.lp,QPLIB,0,1,max,FEASIBLE,FEASIBLE,FEASIBLE,478.0,478.0,478.0,tie,tie,163211,152167504,18015,25,2.0,76.156,0,0
QPLIB_3562.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,15.6,15.6,15.6,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3565.lp,QPLIB,0,1,max,FEASIBLE,FEASIBLE,FEASIBLE,282.0,282.0,282.0,tie,tie,317890,159402110,29382,11,2.0,68.7318,0,0
QPLIB_3584.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-22989.0,-22989.0,-22989.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3587.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,16725.0,16725.0,16725.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3614.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,14409.0,14409.0,14409.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_3642.lp,QPLIB,0,1,max,FEASIBLE,FEASIBLE,FEASIBLE,1032.0,1032.0,1032.0,tie,tie,85286,170178435,9506,47,2.0,78.3838,0,0
QPLIB_3650.lp,QPLIB,0,1,max,FEASIBLE,FEASIBLE,FEASIBLE,920.0,920.0,920.0,tie,tie,86012,156582835,8000,53,2.0,79.3505,0,0
