instance,cutoff,tabu,seed,baseline_feasible,block_feasible,baseline_obj,block_obj,outcome,relative_gap
chimera_rfr-02.lp,10,0,12,1,1,1122.2,1122.2,tie,0.0
crossdock_15x8.lp,10,1,12,1,1,17051.0,17051.0,tie,0.0
chimera_selby-c16-02.lp,10,0,11,1,1,704.2,705.4,win,0.0017040613462083664
chimera_selby-c8-onc8-02.lp,10,1,11,1,1,167.0,167.2,win,0.0011976047904190936
chimera_lga-02.lp,10,0,10,1,1,120.5,120.5,tie,0.0
ball_mk4_15.lp,10,0,9,0,1,,-5500.0,win,0
chimera_rfr-02.lp,10,0,10,1,1,1125.9,1125.9,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,0,12,1,1,403.0,403.0,tie,0.0
ball_mk2_30.lp,10,0,9,1,1,0.0,0.0,tie,0
ball_mk4_05.lp,10,1,8,0,1,,-910.0,win,0
crossdock_15x8.lp,10,0,12,1,1,16505.0,16505.0,tie,0.0
chimera_rfr-02.lp,10,0,11,1,1,1123.5,1120.6,loss,-0.0025812194036493913
chimera_selby-c16-01.lp,10,1,10,1,1,698.8,700.6,win,0.0025758443045221357
chimera_selby-c16-02.lp,10,0,12,1,1,702.7,702.7,tie,0.0
chimera_mgw-c8-507-onc8-02.lp,10,0,11,1,1,494.0,494.0,tie,0.0
chimera_mis-01.lp,10,0,9,1,1,381.2,381.2,tie,0.0
ball_mk2_10.lp,10,1,8,1,1,0.0,0.0,tie,0
chimera_mgw-c8-507-onc8-01.lp,10,1,9,1,1,493.0,493.0,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,0,11,1,1,395.0,395.0,tie,0.0
chimera_selby-c16-01.lp,10,0,11,1,1,710.1,709.5,loss,-0.0008449514152936526
ball_mk4_15.lp,10,1,11,0,1,,-2693.0,win,0
ball_mk4_15.lp,10,0,11,0,1,,-5500.0,win,0
ball_mk4_05.lp,10,0,8,0,1,,-19.0,win,0
chimera_mgw-c16-2031-01.lp,10,1,8,1,1,1956.0,1956.0,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,1,8,1,1,405.0,405.0,tie,0.0
chimera_selby-c16-01.lp,10,0,12,1,1,700.8,700.8,tie,0.0
chimera_mgw-c16-2031-01.lp,10,1,12,1,1,1946.0,1956.0,win,0.0051387461459403904
ball_mk3_10.lp,10,0,10,0,1,,-8.0,win,0
chimera_mgw-c16-2031-01.lp,10,0,8,1,1,1956.0,1956.0,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,0,9,1,1,403.0,403.0,tie,0.0
ball_mk4_05.lp,10,1,12,0,1,,-19.0,win,0
ball_mk4_05.lp,10,0,9,0,1,,-1900.0,win,0
